HS.GPA,College.GPA,CatOrDogPerson,Alcohol,Sleep,HW,Modality,VideoConferencing,Fight
3.2,3.48,Dog,1,5,4,100% online,Microsoft Teams,I would prefer to fight one hundred duck-size horses.
4,3.87,Dog,2,7,2,100% online,Zoom,I would prefer to fight one horse-sized duck.
3.25,2.5,Cat,0,5.71,5,rotating class,Microsoft Teams,I would prefer to fight one hundred duck-size horses.
3,2.7,Cat,1,8,1.5,100% online,Microsoft Teams,I would prefer to fight one horse-sized duck.
2.4,3.16,Cat,2,8,2,rotating students,Microsoft Teams,I would prefer to fight one hundred duck-size horses.
2.8,3.2,Cat,0,7,4,rotating class,Cisco Webex,I would prefer to fight one hundred duck-size horses.
3.7,3.4,Dog,2,7,4,100% online,Zoom,I would prefer to fight one hundred duck-size horses.
3.67,3.96,Dog,0,6,10,100% online,Microsoft Teams,I would prefer to fight one hundred duck-size horses.
2.1,3.71,Dog,0,8,2,rotating class,Microsoft Teams,I would prefer to fight one hundred duck-size horses.
3.5,2.5,Dog,5,9,2,100% online,Zoom,I would prefer to fight one horse-sized duck.
2.9,2.9,Cat,0,4,6,100% online,Microsoft Teams,I would prefer to fight one hundred duck-size horses.
3.7,3.6,Cat,0,7,4,100% online,Microsoft Teams,I would prefer to fight one horse-sized duck.
3.3,3.8,Dog,2,7,3,rotating students,Zoom,I would prefer to fight one horse-sized duck.
3.67,3.6,Dog,2,6,3,100% online,Zoom,I would prefer to fight one horse-sized duck.
3.6,3.88,Dog,0,6,2,rotating class,Cisco Webex,I would prefer to fight one horse-sized duck.
3.8,2.6,Cat,0,8,2,100% online,Zoom,I would prefer to fight one horse-sized duck.
3.3,3.2,Dog,2,5,2,rotating class,Microsoft Teams,I would prefer to fight one horse-sized duck.
2.9,3.38,Cat,0,7,2,100% online,Blackboard Collaborate,I would prefer to fight one hundred duck-size horses.
3.7,3.5,Dog,4,9,2,100% online,Zoom,I would prefer to fight one hundred duck-size horses.
3.85,3.7,Dog,0,8,5,rotating students,Microsoft Teams,I would prefer to fight one hundred duck-size horses.