HS GPA,College GPA,CatOrDogPerson,Alcohol,Marijuana,FavoriteMeal,sleep,MovieGenre,LightOrDarkMode,FavoriteTechCompany,FavoriteSport,FavoriteSeason,LadyOrWitch
3,2.8,Cat,3,0,Dinner,7,Action,Light mode,none,football,Spring,An old lady
3.4,3.61,Cat,2,0,Dinner,8,Fantasy,Dark mode,Microsoft,Hockey,Summer,An old lady
,3.1,Dog,0,0,I do not have a favorite or none of the above,,Comedy,Light mode,Apple,Swimming,Spring,An old lady
3.85,3.62,Dog,1,0,Dinner,8,Comedy,Dark mode,Apple,Swimming,Winter,An old lady
3.5,3.5,Cat,1,1,Dinner,7,Romance,Dark mode,Apple,Brazilian jiu-jitsu,Fall,An old lady
4,4,,7,7,Dinner,0,Action,Dark mode,X,Valorant,Summer,An old lady
3.67,3.49,Dog,1,0,Lunch,8,Action,Dark mode,Google,Pool (Cue Sports),Summer,An old lady
3.8,2.84,Cat,1,1,Lunch,5.50,Fantasy,Dark mode,Apple,Basketball,Summer,An old lady
4.06,2.9,Dog,1,4,Dinner,8.5,Drama,Light mode,Google,Basketball,Fall,An old lady
3.9,3.7,Dog,0,0,Dinner,8,Action,Dark mode,Google,Soccer,Winter,None of the above (or both)
3.86,3.85,Dog,0,0,Breakfast,6.5,Fantasy,Dark mode,Google,Football,Fall,An old lady
3.78,3.19,Cat,0,0,Dinner,7,Comedy,No preference,Samsung,Soccer,Fall,None of the above (or both)
3.84,3.87,Dog,0,0,Lunch,6,Action,Dark mode,Microsoft,Football,Summer,None of the above (or both)
3.8,3.3,Dog,0,6,Breakfast,7,Drama,Dark mode,Apple,Baseball,Summer,An old lady
4.6522,3.83,Dog,0,0,I do not have a favorite or none of the above,6.50,Fantasy,Dark mode,No favorite,Basketball?,Winter,A witch
3.68,2.31,Dog,0,1,Dinner,8,Comedy,Dark mode,Apple,Tennis,Fall,An old lady
3.83,3.97,Dog,0,0,Breakfast,8,Comedy,Dark mode,Apple,Volleyball,Fall,An old lady
3,2.1,Dog,0,0,Dinner,6,Comedy,Dark mode,Apple,Volleyball,Fall,None of the above (or both)
3.5,3.97,Dog,0,0,Dinner,6,Fantasy,Dark mode,"Brave Software, Inc.",None,Fall,None of the above (or both)